Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-01-03,27.542448804557736,24.047862088675295,20.312092327343947,14.698992702362906,12.740002088987886,11.114543592613717,5.1734337280206795,6.456850621956384,9.034731345944579,10.712633918040765,20.36137779033326,20.241929310081165,24.222253918597442,20.41574900023419,15.826809885736346,17.479505742657693,20.484202360269585,31.876177330225282,39.99304917143808,35.587885635350744,29.131966882981413,27.20944425575131,30.62575982458791,28.9015319078396
2016-01-04,19.813467021758097,17.123177228975255,15.268735902375884,10.36197095122207,11.138711061314336,18.834289845643227,31.663538206582466,42.74748113180351,44.68758645953121,48.14935579388209,45.66413808143036,46.27777840644049,45.520785463066126,44.02006967306773,41.76417235313437,38.70509216053797,38.98072848463295,46.57711073354543,51.59735736059878,47.26557485089492,41.75360568785203,36.655889809316996,37.16372147550723,33.437664408382034
2016-01-05,22.941938565648304,21.741575326618207,19.03570871911528,14.57537725571811,13.975216381725295,19.863339578703055,29.092226000606654,40.32102551804585,43.766132917205766,43.578824485331225,42.096080429592405,36.75730774345152,38.640627592897715,34.68806642449909,37.65663256296701,36.22382098806309,36.70048700596723,40.90277962432909,46.586186665984144,46.93520700843387,40.3135905728097,34.997095538989974,33.519615795195605,33.872467206707064
2016-01-06,26.759595439562524,25.41742788691445,23.9722562594806,21.540399274829568,19.510520732051386,24.446292024334277,30.329865925589402,38.483527399031715,42.88954273201362,43.8159865136059,43.164616673323046,41.99325399569225,40.85597177588919,37.79207745948582,36.260897442129355,35.31089219101379,35.588205204262,42.74234049047458,47.32438852351349,46.104586354155565,40.17376170108066,35.8373571824048,35.4050044499992,34.30069024272811
2016-01-07,26.437799077416706,26.18517629609583,24.472779816179724,21.62557058427461,20.91918589700626,23.560607311641785,28.801289817978734,38.66133469375271,41.67949987071677,41.40386339763777,41.520229126506756,41.08338816914381,40.10025874016109,36.97900988035365,35.06289047332524,33.73873933990975,35.762197283635565,42.28719497450111,45.991596201221775,43.62373643510415,37.97170791103694,33.37316962535937,34.63202818662856,33.803492641228004
2016-01-08,26.808103865442305,25.434453543108447,23.422321552910446,18.72435727356064,18.882191249707137,22.315260727135847,29.703611145561958,37.98168858818504,40.662857213245445,41.14352877246464,41.86810196859669,41.76163856444013,40.96842733911874,37.8812271643524,34.512679183846,33.9933504835613,35.161920221925506,40.67934731660978,44.178445893957765,43.412380452658894,38.68907763391395,35.725561221598106,35.39737568925919,34.22313008507436
2016-01-09,29.583696927317124,26.826174606750964,24.477574567143435,21.029197198151877,19.578120661853696,19.826280333190784,21.86227745019793,28.036113593559264,29.282861272133093,31.93604385700615,31.112332094267945,31.57517045075099,30.883905588077447,28.16913391795552,24.125994770355934,24.65366985930387,25.807319090349896,32.952077973239014,36.39470643282642,35.50951989458137,26.320897411706028,26.587244445319435,27.663511934005975,30.853495743338097
2016-01-10,19.415559602830974,19.10734018116017,16.463215546043642,11.532699451194418,9.245476417643625,7.189944419602764,0.66868061946019,5.246714522970763,11.375985789283668,17.315463913543145,20.645398796183947,23.819240941139125,25.284252952218793,21.78521960473199,12.80829319631832,12.281779356880993,14.734434541691638,28.0774561093017,35.173242576227224,34.8105714397256,32.02084970952994,28.531132380380654,28.738317284761642,28.95011439726487
2016-01-11,21.002009051637494,19.85108847959122,17.977045003710625,16.192888137504365,15.51918583638978,20.102145908592636,28.869756386693666,38.5971982710024,43.42369610273558,42.31677179830564,40.70911012523711,40.03437198022828,37.854464206879356,36.286237898506315,35.43706030821508,34.82110830478251,36.79504181293726,41.714461976877985,45.25770365933446,44.01007600005433,38.35192210985627,34.10124640681975,33.50522744310785,31.644798144030425
2016-01-12,24.905917107764314,23.497970971587137,22.084750415256963,18.393780129831008,18.178635119296708,22.350845215262318,28.615335607761743,40.197565195080934,43.110382844910525,43.7903589675318,43.0466798146317,42.36278075355223,40.26174171398267,38.59364230718746,37.1882351788989,35.63259001912366,35.7603926482976,41.58230334655808,46.34412978454496,45.77490130162928,39.84977830624722,35.544227211165655,35.740727982999324,34.9801547349391
2016-01-13,23.881939302864836,22.433383339702942,21.285658243271083,19.29472927865259,18.35685752990376,22.54566851951342,29.474429993267407,41.44477989799558,44.935676049136845,44.08093571699736,43.53595664055464,41.97505378194921,40.3540379739594,38.54443064625338,36.447836982401164,35.57912853348922,36.77715319002425,43.002255370315694,47.404224525449536,46.30519145158347,40.09782006729533,34.12001388859423,35.782455055161904,34.457624330915344
2016-01-14,30.348316058320385,27.50651468475495,25.871991716885336,22.40497245551749,22.034894631490417,26.115236766142456,33.71604386014454,44.0012204933122,47.572743288788644,47.69218613924141,46.595202795902985,46.470997680574435,44.69380601010014,42.6694675028347,40.80817457320521,38.320251343798496,39.07417099716736,46.4120755531639,51.1608125961001,49.13461111606102,42.27074409822271,37.010022550278805,38.18742208258878,37.46389839516457
2016-01-15,26.29806904194845,25.04539169460791,23.6092146169565,21.58437759784586,21.265158020228483,24.653385459251325,32.041820577917896,44.76042961389301,47.922348392916064,46.25802824530561,45.94610646116014,44.735226338596874,42.28355622436046,38.66399841899593,37.636474387215,37.17628996118236,38.14954301260982,43.75983080617537,48.8010542077609,48.117639847303586,42.03278138822521,37.07423853654995,37.715180616874534,36.804724206982215
2016-01-16,35.17843375453171,31.503472032427837,29.35855844681683,27.14277490301381,26.002565234722677,28.12649488080958,32.41894544284392,39.70438347414487,43.87714243185423,44.961988928732644,43.94148175647678,41.78346477330914,42.76606659181444,40.59461465410501,36.64736964645811,35.364158835574145,35.74606785602354,44.532010539150434,50.83527297172648,49.612410975833384,45.05154311861749,38.22880914671686,40.7460540642224,39.390123353477314
2016-01-17,35.22715230478468,31.92685468401672,29.65563634181724,25.877106842284782,25.093467683186653,25.27160473911709,27.66231804365456,34.24197709553598,37.112057487393216,39.46959202328978,38.720243672077984,39.860729992845094,40.8005490537289,38.515974040494186,32.990195042452335,32.360191187257705,33.15259660321392,39.26495232644067,48.15233263751375,49.94622258842936,42.739227628657446,37.93571855279646,38.03608106451507,37.327712411219714
2016-01-18,34.70874116127081,31.757535599748664,29.944178515658724,28.622517818316986,27.283774149646586,30.656560238500077,39.248674538410334,49.250382434183486,52.709663268772765,52.82507266382623,52.606813481493944,53.023692099754534,50.94950690059434,49.57486242001997,47.08573070496485,44.00947357346975,44.187942842310626,51.152573810712354,60.51429764690472,57.37005348388093,50.21849655491075,43.67635003473996,43.49644059181843,41.84473374905504
2016-01-19,40.25185271546195,39.089461678984726,37.31763899820982,33.78730724071955,32.340327990488184,36.37888022585603,43.079552858143565,52.577576549300694,55.67387196772001,56.50563727234838,56.027512867925864,55.09140262004005,51.52228588813056,50.88244641059582,47.3422813951311,46.27033314648749,47.267412994802235,53.616690322851284,61.42241774226563,60.200513525334856,52.14329260963295,46.55942856433781,46.082316271328864,44.14293278135592
2016-01-20,41.56835653966612,40.27161997643368,38.82650881391505,37.41148806624691,34.24140639101495,38.444701755851916,45.40426586632293,55.488508935725704,59.08762231562181,59.77416596380665,58.94058525276719,56.68998896297216,54.22546512522342,52.72320569684222,49.95788455838307,49.874289827028186,50.51724861794495,56.135434964232495,66.04784294331333,62.72372697067189,53.39335090760104,47.189478587318945,47.5644916145083,46.26499428272461
